text	label
with a little money , they set out on the road with a guy named ben . 	0
dealing with the aftermath of the 'accident' brings out the best and the worst in them . 	0
the smug , oily demeanor that donovan adopts throughout the stupidly named pipe dream is just repulsive . 	1
brosnan gives a portrayal as solid and as perfect as his outstanding performance as bond in die another day . 	1
in the end , both come to new understanding of what is important and appear to be set in new ethical and moral directions . 	0
a teenager rides the same bus to school everyday . 	0
his daughter has been kidnapped by the man who owns the stones , and wants them back . 	0
peralta captures , in luminous interviews and amazingly evocative film from three decades ago , the essence of the dogtown experience . 	1
chasm is a black comedy , set in a time when trading body parts has become commonplace and blinding light and torrential rain overpower the land . 	0
when the chemical sisters , montreal's fabulous club kid duo find an unconscious naked boy on their way out from yet another jetset event , they decide to bring him home and take matters into their own glittery hands . 	0
with terry in the corner office , you'll never be late for the morning meeting again . 	0
one of those movies that catches you up in something bigger than yourself , namely , an archetypal desire to enjoy good trash every now and then . 	1
the story of two lads from belfast as they stumble their way through the london gay underworld in search of 'gainful employment' . 	0
holland lets things peter out midway , but it's notably better acted -- and far less crass - than some other recent efforts in the burgeoning genre of films about black urban professionals . 	1
a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe . 	1
scenes in which the band grooves with modern musicians montell jordan and joan osborne singing covers are spectacular . 	1
she may not be real , but the laughs are . 	1
so much about the film is loopy and ludicrous . . . that it could have been a hoot in a bad-movie way if the laborious pacing and endless exposition had been tightened . 	1
clerick john preston ( bale ) is a top ranking government agent responsible for destroying those who resist the rules . 	0
"their life , though unusual , is satisfying until one day , a man named barry kolker ( that her mother refers to at first as "" the goat man "" ) comes into their lives , and ingrid falls madly in love with him , only to have her heart broken , and her life ruined . "	0
the acting is just fine , but there's not enough substance here to sustain interest for the full 90 minutes , especially with the weak payoff . 	1
set in the los angeles police department in april 1992 , dark blue is a dramatic thriller that takes place just days before the acquittal of four white officers in the beating of black motorist rodney king and the subsequent l . a . riots . 	0
the drama was so uninspiring that even a story immersed in love , lust , and sin couldn't keep my attention . 	1
vera's technical prowess ends up selling his film short ; he smoothes over hard truths even as he uncovers them . 	1
however , nicholas cannot keep the creature hidden forever and must eventually face his own feelings . 	0
14-year-old meredith attempts to maintain a religious vow of silence during a thanksgiving dinner with her agnostic family . 	0
extremes of intimacy and spectacle , tragedy and hope fuse in a tidal wave of visuals and music , giving rise to a unique , artistic experience that reflects the vision of a brave new globalized world . 	0
an incredibly irritating comedy about thoroughly vacuous people . . . manages to embody the worst excesses of nouvelle vague without any of its sense of fun or energy . 	1
but with the help of a superhero and a mysterious deep-voiced stranger , arnold and gerald will need to recover a crucial document in order to save their beloved neighborhood . 	0
in mid-1970s savannah , two bright but rebellious boys , francis doyle and tim sullivan , fight boredom , hormones and harsh teachers as they struggle to find something meaningful beyond the walls of their parish school . 	0
as the girls begin to bond , laura gradually begins to find herself abandoning the safety of the fantasy and falling into her first real friendship . 	0
" "" austin powers in goldmember "" has the right stuff for silly summer entertainment and has enough laughs to sustain interest to the end . "	1
but billy's not into him ^&#214 ; he's in love with sonny , a musician into sm . 	0
amongst the excitement of rediscovering old friendships , no one minds that a snowstorm has cut them off from the rest of the outside world . 	0
today the mighty trident ssbns form a deterrent shield for the united states . 	0
it is a journey that will take both carol and charlie to the edge of reality and force carol to face up to her terrifying destiny . 	0
taken seriously , it's not much to think about , but taken as a dirtier version of other girlie films . . . it's at least entertaining and sexy fun . 	1
the pace and the visuals are so hyped up that a curious sense of menace informs everything . 	1
when a harmonium and a mysterious woman ( emily watson ) enter his life , his romantic journey begins . 	0
for its seriousness , high literary aspirations and stunning acting , the film can only be applauded . 	1
the pace of the film is very slow ( for obvious reasons ) and that too becomes off-putting . 	1
he dies alone at the hospital , and apparently everything nete planned went wrong . 	0
preposterous and tedious , sonny is spiked with unintentional laughter that , unfortunately , occurs too infrequently to make the film even a guilty pleasure . 	1
add to the mix a sob sister , roxie's hapless husband amos , and a warm prison matron who watches out for her girls ( if there's something in it for her ) , and you have chicago . 	0
here she encounters the menacing dennis betts ( clive russell ) and in an attempt to flee from him , she &#237 ; s forced to hide in a car belonging to daniel stone ( douglas henshall ) , a hospital porter . 	0
it's anchored by splendid performances from an honored screen veteran and a sparkling newcomer who instantly transform themselves into a believable mother/daughter pair . 	1
"but when fred is fired , the well runs dry , and our heroes come up with a new plan : make their own "" adult "" film . "	0
oliveira seems to pursue silent film representation with every mournful composition . 	1
cletis is playful but highly studied and dependent for its success on a patient viewer . 	1
lando , after knowing the situation , attempted to kill roman . 	0
